certificate, {'id': 28185790, 'common_name': 'sslvpn.transport.wa.gov.au', 'dns_names': ['sslvpn.transport.wa.gov.au', 'sslvpn-dr.transport.wa.gov.au'], 'valid_from': '2019-08-11', 'valid_till': '2021-08-30', 'days_remaining': 452, 'signature_hash': 'sha256'}
certificate, {'id': 28185791, 'common_name': 'test-online.transport.wa.gov.au', 'dns_names': ['test-online.transport.wa.gov.au'], 'valid_from': '2019-08-12', 'valid_till': '2021-09-29', 'days_remaining': 482, 'signature_hash': 'sha256'}
certificate, {'id': 28185792, 'common_name': 'staff-uat.dpi.wa.gov.au', 'dns_names': ['staff-uat.dpi.wa.gov.au'], 'valid_from': '2019-08-14', 'valid_till': '2020-08-21', 'days_remaining': 78, 'signature_hash': 'sha256'}
certificate, {'id': 28185793, 'common_name': 'DOTDC1SFBFE.dpi.wa.gov.au', 'dns_names': ['DOTDC1SFBFE.dpi.wa.gov.au', 'DOTDC1SFBFE01.dpi.wa.gov.au', 'DOTDC2SFBFE.dpi.wa.gov.au', 'DOTDC2SFBFE01.dpi.wa.gov.au', 'dialin.skype.transport.wa.gov.au', 'lyncdiscover.skype.transport.wa.gov.au', 'lyncdiscoverinternal.skype.transport.wa.gov.au', 'meet.skype.transport.wa.gov.au', 'sip.skype.transport.wa.gov.au', 'skypeweb.skype.transport.wa.gov.au', 'skypeweb2.skype.transport.wa.gov.au'], 'valid_from': '2019-08-14', 'valid_till': '2020-08-23', 'days_remaining': 80, 'signature_hash': 'sha256'}
certificate, {'id': 28185794, 'common_name': 'repliweb.transport.wa.gov.au', 'dns_names': ['repliweb.transport.wa.gov.au'], 'valid_from': '2019-08-28', 'valid_till': '2021-08-30', 'days_remaining': 452, 'signature_hash': 'sha256'}
certificate, {'id': 28185795, 'common_name': 'www.plateswa.com.au', 'dns_names': ['www.plateswa.com.au', 'plateswa.com.au', 'www.plateswa.com', 'plateswa.com'], 'valid_from': '2019-09-01', 'valid_till': '2021-09-01', 'days_remaining': 454, 'signature_hash': 'sha256'}
certificate, {'id': 28185796, 'common_name': 'edge1.skype.transport.wa.gov.au', 'dns_names': ['edge1.skype.transport.wa.gov.au', 'edgeav1.skype.transport.wa.gov.au', 'edgeweb1.skype.transport.wa.gov.au', 'sip.skype.transport.wa.gov.au', 'skype.transport.wa.gov.au'], 'valid_from': '2019-09-22', 'valid_till': '2020-09-26', 'days_remaining': 114, 'signature_hash': 'sha256'}
certificate, {'id': 28185797, 'common_name': 'edge2.skype.transport.wa.gov.au', 'dns_names': ['edge2.skype.transport.wa.gov.au', 'edgeav2.skype.transport.wa.gov.au', 'edgeweb2.skype.transport.wa.gov.au', 'sip.skype.transport.wa.gov.au', 'skype.transport.wa.gov.au'], 'valid_from': '2019-09-24', 'valid_till': '2020-09-28', 'days_remaining': 116, 'signature_hash': 'sha256'}
certificate, {'id': 28185798, 'common_name': 'www.transport.wa.gov.au', 'dns_names': ['www.transport.wa.gov.au', 'transport.wa.gov.au'], 'valid_from': '2019-12-05', 'valid_till': '2022-02-13', 'days_remaining': 619, 'signature_hash': 'sha256'}
certificate, {'id': 28185799, 'common_name': 'gis.transport.wa.gov.au', 'dns_names': ['gis.transport.wa.gov.au', 'giscontent.transport.wa.gov.au'], 'valid_from': '2019-12-16', 'valid_till': '2021-12-16', 'days_remaining': 560, 'signature_hash': 'sha256'}
certificate, {'id': 28185800, 'common_name': 'mdm.transport.wa.gov.au', 'dns_names': ['mdm.transport.wa.gov.au'], 'valid_from': '2020-01-27', 'valid_till': '2021-01-30', 'days_remaining': 240, 'signature_hash': 'sha256'}
certificate, {'id': 28185801, 'common_name': 'agate.transport.wa.gov.au', 'dns_names': ['agate.transport.wa.gov.au'], 'valid_from': '2020-01-27', 'valid_till': '2021-02-03', 'days_remaining': 244, 'signature_hash': 'sha256'}
certificate, {'id': 28185802, 'common_name': 'online.transport.wa.gov.au', 'dns_names': ['online.transport.wa.gov.au'], 'valid_from': '2020-02-02', 'valid_till': '2022-03-29', 'days_remaining': 663, 'signature_hash': 'sha256'}
certificate, {'id': 28185803, 'common_name': 'dpi.wa.gov.au', 'dns_names': ['dpi.wa.gov.au', 'www.dpi.wa.gov.au', 'autodiscover.dpi.wa.gov.au', 'autodiscover.metronet.wa.gov.au', 'autodiscover.planning.wa.gov.au', 'autodiscover.transport.wa.gov.au', 'autodiscover.westport.wa.gov.au', 'hybrid.transport.wa.gov.au', 'mail.dpi.wa.gov.au', 'webmail.dpi.wa.gov.au', 'webmail.metronet.wa.gov.au', 'webmail.planning.wa.gov.au', 'webmail.transport.wa.gov.au', 'webmail.westport.wa.gov.au'], 'valid_from': '2020-03-02', 'valid_till': '2022-03-06', 'days_remaining': 640, 'signature_hash': 'sha256'}
certificate, {'id': 28185804, 'common_name': 'test-iot.dpi.wa.gov.au', 'dns_names': ['test-iot.dpi.wa.gov.au'], 'valid_from': '2020-04-19', 'valid_till': '2022-05-22', 'days_remaining': 717, 'signature_hash': 'sha256'}
certificate, {'id': 28185805, 'common_name': 'iot.dpi.wa.gov.au', 'dns_names': ['iot.dpi.wa.gov.au'], 'valid_from': '2020-04-20', 'valid_till': '2022-05-27', 'days_remaining': 722, 'signature_hash': 'sha256'}
certificate, {'id': 31128118, 'common_name': 'vdi.transport.wa.gov.au', 'dns_names': ['vdi.transport.wa.gov.au'], 'valid_from': '2020-05-20', 'valid_till': '2022-05-24', 'days_remaining': 719, 'signature_hash': 'sha256'}
